Topic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,topics
Protection Animale,animal,maltraitance,abattoir,souffrance,cruauté,humain,maltraiter,tuer,fourrure,pauvre,protection_animal,élevage,loi,souffrir,viande,acte,cheval,abattage,espèce,zoo,animal maltraitance abattoir souffrance cruauté humain maltraiter tuer fourrure pauvre protection_animal élevage loi souffrir viande acte cheval abattage espèce zoo
Justice Economique,travail,poste,salarié,étudiant,entreprise,emploi,social,contrat,formation,direction,université,professionnel,association,service_public,travailler,droit,cgt,société,licenciement,public,travail poste salarié étudiant entreprise emploi social contrat formation direction université professionnel association service_public travailler droit cgt société licenciement public
Education,classe,élève,rentrée,effectif,école_maternelle,maternelle,enseignement,enseignant,apprentissage,parent_élève,surcharger,enfant,mobiliser,accueil,inspection_académique,école_élémentaire,poste,académie,éducation_national,inspecteur,classe élève rentrée effectif école_maternelle maternelle enseignement enseignant apprentissage parent_élève surcharger enfant mobiliser accueil inspection_académique école_élémentaire poste académie éducation_national inspecteur
Protection Animale,chien,propriétaire,maître,race,spa,refuge,vétérinaire,canin,parc,chiot,voisin,sauver,mort,pauvre,éleveur,enfermer,plage,abandonner,voiture,patte,chien propriétaire maître race spa refuge vétérinaire canin parc chiot voisin sauver mort pauvre éleveur enfermer plage abandonner voiture patte
Droit de l’enfance,enfant,parent,famille,scolaire,fils,mère,handicap,adulte,handicapé,cantine,père,enfance,éducation,crèche,parent_enfant,maman,apprendre,droit,placement,fille,enfant parent famille scolaire fils mère handicap adulte handicapé cantine père enfance éducation crèche parent_enfant maman apprendre droit placement fille
Politique,candidat,vote,élection,présidentiel,politique,macron,gauche,voter,blanc,électeur,parti,citoyen,françois_fillon,tour,démocratie,candidature,fillon,emmanuel,élu,primaire,candidat vote élection présidentiel politique macron gauche voter blanc électeur parti citoyen françois_fillon tour démocratie candidature fillon emmanuel élu primaire
Protection Animale,chat,chat_errant,stérilisation,stériliser,association,chaton,fourrière,refuge,vétérinaire,spa,capture,nourrir,abandonner,euthanasier,disparaître,identifier,campagne,ami,mort,euthanasie,chat chat_errant stérilisation stériliser association chaton fourrière refuge vétérinaire spa capture nourrir abandonner euthanasier disparaître identifier campagne ami mort euthanasie
Protection Animale,cirque,animal,animal_sauvage,spectacle,cage,éléphant,interdire,ville,dressage,interdiction,lion,tigre,enfermer,nature,captivité,espèce,souffrance,biologique,impératif,public,cirque animal animal_sauvage spectacle cage éléphant interdire ville dressage interdiction lion tigre enfermer nature captivité espèce souffrance biologique impératif public
Justice,justice,victime,prison,acte,fille,peine,condamner,famille,policier,violence,police,père,mère,affaire,plainte,mort,crime,juge,tribunal,fils,justice victime prison acte fille peine condamner famille policier violence police père mère affaire plainte mort crime juge tribunal fils
Politique,pays,loi,peuple,gouvernement,droit,citoyen,politique,europe,européen,état,ministre,monde,député,liberté,référendum,migrant,république,national,démission,guerre,pays loi peuple gouvernement droit citoyen politique europe européen état ministre monde député liberté référendum migrant république national démission guerre
Justice Economique,payer,retraite,taxe,retraité,impôt,revenu,salaire,augmentation,argent,augmenter,loyer,propriétaire,hausse,pension,logement,travailler,cotisation,état,coût,frais,payer retraite taxe retraité impôt revenu salaire augmentation argent augmenter loyer propriétaire hausse pension logement travailler cotisation état coût frais
Santé,santé,patient,médecin,soin,hôpital,maladie,médical,malade,traitement,médicament,ministre,urgence,professionnel,centre,cancer,infirmier,soigner,soignant,sécurité_social,public,santé patient médecin soin hôpital maladie médical malade traitement médicament ministre urgence professionnel centre cancer infirmier soigner soignant sécurité_social public
Education,école,scolaire,parent_élève,enseignant,rentrée,éducation,éducation_national,village,public,enseignement,parent,rural,ecolé,poste,apprentissage,maternelle,équipe,mairie,pédagogique,scolariser,école scolaire parent_élève enseignant rentrée éducation éducation_national village public enseignement parent rural ecolé poste apprentissage maternelle équipe mairie pédagogique scolariser
Vie Locale,ville,association,mairie,lieu,place,local,patrimoine,bâtiment,municipal,culturel,sauver,centre,maison,centre-ville,salle,logement,art,commerce,municipalité,citoyen,ville association mairie lieu place local patrimoine bâtiment municipal culturel sauver centre maison salle logement art commerce municipalité citoyen
