,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,topics
0,eau,environnement,pollution,déchet,éolien,naturel,terre,forêt,industriel,agricole,village,écologique,risque,nature,route,air,santé,agriculture,paysage,plastique,eau environnement pollution déchet éolien naturel terre forêt industriel agricole village écologique risque nature route air santé agriculture paysage plastique
1,classe,élève,rentrée,effectif,maternelle,école_maternelle,enfant,surcharger,enseignement,apprentissage,parent_élève,enseignant,inspection_académique,mobiliser,accueil,éducation_national,école_élémentaire,académie,augmentation,inspecteur,classe élève rentrée effectif maternelle école_maternelle enfant surcharger enseignement apprentissage parent_élève enseignant inspection_académique mobiliser accueil éducation_national école_élémentaire académie augmentation inspecteur
2,animal,cirque,animal_sauvage,spectacle,cage,maltraitance,interdire,souffrance,ville,éléphant,espèce,interdiction,dressage,captivité,abattoir,humain,cruauté,enfermer,lion,maltraiter,animal cirque animal_sauvage spectacle cage maltraitance interdire souffrance ville éléphant espèce interdiction dressage captivité abattoir humain cruauté enfermer lion maltraiter
3,chien,animal,propriétaire,maître,parc,canin,refuge,race,vétérinaire,chiot,spa,pauvre,sauver,voisin,mort,abandonner,éleveur,maltraitance,patte,euthanasie,chien animal propriétaire maître parc canin refuge race vétérinaire chiot spa pauvre sauver voisin mort abandonner éleveur maltraitance patte euthanasie
4,enfant,parent,famille,scolaire,fille,handicap,mère,fils,cantine,maternelle,maman,adulte,handicapé,éducation,droit,parent_enfant,crèche,enfance,père,placement,enfant parent famille scolaire fille handicap mère fils cantine maternelle maman adulte handicapé éducation droit parent_enfant crèche enfance père placement
5,candidat,élection,vote,macron,présidentiel,gauche,politique,voter,blanc,emmanuel,électeur,candidature,parti,tour,françois_fillon,démocratie,fillon,programme,mélenchon,primaire,candidat élection vote macron présidentiel gauche politique voter blanc emmanuel électeur candidature parti tour françois_fillon démocratie fillon programme mélenchon primaire
6,chat,animal,chat_errant,stérilisation,association,stériliser,chaton,refuge,vétérinaire,fourrière,spa,abandonner,ami,identification,félin,nourrir,campagne,maltraitance,sauver,disparaître,chat animal chat_errant stérilisation association stériliser chaton refuge vétérinaire fourrière spa abandonner ami identification félin nourrir campagne maltraitance sauver disparaître
7,ville,parc,mairie,arbre,place,patrimoine,lieu,construction,logement,association,bâtiment,maison,parking,immeuble,construire,jardin,centre,public,centre-ville,municipal,ville parc mairie arbre place patrimoine lieu construction logement association bâtiment maison parking immeuble construire jardin centre public municipal
8,payer,taxe,retraite,impôt,retraité,revenu,salaire,augmentation,salarié,hausse,entreprise,prix,argent,travail,augmenter,csg,travailler,social,fiscal,carburant,payer taxe retraite impôt retraité revenu salaire augmentation salarié hausse entreprise prix argent travail augmenter csg travailler social fiscal carburant
9,pays,peuple,loi,citoyen,gouvernement,droit,politique,état,liberté,référendum,européen,national,république,député,monde,constitution,europe,migrant,ministre,international,pays peuple loi citoyen gouvernement droit politique état liberté référendum européen national république député monde constitution europe migrant ministre international
10,élève,collège,lycée,professeur,poste,scolaire,enseignant,établissement,enseignement,étudiant,cours,parent_élève,éducation,formation,rentrée,rectorat,langue,université,réussite,travail,élève collège lycée professeur poste scolaire enseignant établissement enseignement étudiant cours parent_élève éducation formation rentrée rectorat langue université réussite travail
11,ligne,gare,train,sncf,usager,bus,transport,ter,région,ferroviaire,service_public,voyageur,voiture,réseau,trajet,desservir,desserte,circulation,route,transport_commun,ligne gare train sncf usager bus transport ter région ferroviaire service_public voyageur voiture réseau trajet desservir desserte circulation route transport_commun
12,santé,patient,soin,hôpital,médecin,maladie,médical,traitement,malade,médicament,professionnel,urgence,centre,infirmier,soigner,soignant,ministre,médecine,public,travail,santé patient soin hôpital médecin maladie médical traitement malade médicament professionnel urgence centre infirmier soigner soignant ministre médecine public travail
13,école,parent_élève,scolaire,enseignant,poste,public,village,enseignement,éducation,rentrée,éducation_national,mairie,apprentissage,ecolé,avenir,rural,pédagogique,municipalité,élu,apprendre,école parent_élève scolaire enseignant poste public village enseignement éducation rentrée éducation_national mairie apprentissage ecolé avenir rural pédagogique municipalité élu apprendre
14,compteur,linky,électrique,appareil,onde,électromagnétique,incendie,déploiement,électricité,edf,panne,santé,risque,consommation,facture,sanitaire,cancer,intelligent,énergie,technologie,compteur linky électrique appareil onde électromagnétique incendie déploiement électricité edf panne santé risque consommation facture sanitaire cancer intelligent énergie technologie
15,femme,violence,homme,musulman,sexuel,liberté,droit_femme,égalité,viol,victime,monde,corps,fille,agression,société,droit,harcèlement,vivre,enceinte,libre,femme violence homme musulman sexuel liberté droit_femme égalité viol victime monde corps fille agression société droit harcèlement vivre enceinte libre
16,justice,victime,prison,acte,famille,fille,violence,peine,condamner,police,mère,affaire,père,mort,policier,crime,plainte,juge,tribunal,judiciaire,justice victime prison acte famille fille violence peine condamner police mère affaire père mort policier crime plainte juge tribunal judiciaire
17,émission,chaîne,télévision,ami,tf1,diffusion,diffuser,fan,antenne,audiovisuel,poste,radio,programme,public,canal,animateur,série,artiste,film,publicité,émission chaîne télévision ami tf1 diffusion diffuser fan antenne audiovisuel poste radio programme public canal animateur série artiste film publicité
18,chasse,chasseur,tuer,loup,chasser,animal,renard,interdire,nature,massacre,arme,espèce,mort,forêt,accident,faune,cheval,tir,tradition,loisir,chasse chasseur tuer loup chasser animal renard interdire nature massacre arme espèce mort forêt accident faune cheval tir tradition loisir
19,club,joueur,sport,sportif,terrain,match,football,équipe,stade,association,saison,salle,ligue,dirigeant,compétition,jeu,bénévole,démission,jouer,adhérent,club joueur sport sportif terrain match football équipe stade association saison salle ligue dirigeant compétition jeu bénévole démission jouer adhérent
