Topic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,topics
Education,classe,élève,effectif,rentrée,parent_élève,maternelle,enseignant,école_maternelle,surcharger,enseignement,apprentissage,enfant,mobiliser,éducation_national,école_élémentaire,inspection_académique,difficulté,académique,pédagogique,accueil,classe élève effectif rentrée parent_élève maternelle enseignant école_maternelle surcharger enseignement apprentissage enfant mobiliser éducation_national école_élémentaire inspection_académique difficulté académique pédagogique accueil
Politique,peuple,citoyen,pays,politique,loi,gouvernement,droit,élection,liberté,macron,vote,démocratie,état,député,candidat,monde,république,national,voter,constitution,peuple citoyen pays politique loi gouvernement droit élection liberté macron vote démocratie état député candidat monde république national voter constitution
Protection Animale,animal,maltraitance,souffrance,cruauté,élevage,humain,abattoir,refuge,loi,tuer,protection_animal,cheval,maltraiter,association,espèce,acte,vétérinaire,animal_compagnie,pauvre,cage,animal maltraitance souffrance cruauté élevage humain abattoir refuge loi tuer protection_animal cheval maltraiter association espèce acte vétérinaire animal_compagnie pauvre cage
Protection Animale,chien,propriétaire,maître,canin,vétérinaire,refuge,chiot,race,spa,plage,promener,voisin,interdire,compagnon,euthanasie,patte,ami,récupérer,pauvre,courir,chien propriétaire maître canin vétérinaire refuge chiot race spa plage promener voisin interdire compagnon euthanasie patte ami récupérer pauvre courir
Education,collège,poste,élève,professeur,parent_élève,scolaire,rentrée,établissement,enseignement,enseignant,rectorat,fcpe,éducation,collégien,remplacement,dotation,parent,direction,équipe,conseil_départemental,collège poste élève professeur parent_élève scolaire rentrée établissement enseignement enseignant rectorat fcpe éducation collégien remplacement dotation parent direction équipe conseil_départemental
Environnement,eau,éolien,environnement,déchet,pollution,terre,naturel,agricole,industriel,écologique,village,usine,forêt,risque,nature,impact,paysage,biodiversité,environnemental,plastique,eau éolien environnement déchet pollution terre naturel agricole industriel écologique village usine forêt risque nature impact paysage biodiversité environnemental plastique
Droit de l’enfance,enfant,parent,famille,scolaire,handicap,masque,port_masque,adulte,maman,cantine,parent_enfant,mère,scolariser,maternelle,fils,enfance,handicapé,apprentissage,droit,enseignant,enfant parent famille scolaire handicap masque port_masque adulte maman cantine parent_enfant mère scolariser maternelle fils enfance handicapé apprentissage droit enseignant
Santé,santé,hôpital,patient,médecin,soin,masque,covid-19,soignant,maladie,médical,traitement,malade,virus,urgence,soigner,infirmier,sanitaire,vaccin,confinement,population,santé hôpital patient médecin soin masque covid 19 soignant maladie médical traitement malade virus urgence soigner infirmier sanitaire vaccin confinement population
Education,étudiant,université,examen,cours,partiel,présentiel,semestre,formation,étude,universitaire,distance,faculté,enseignement,distanciel,épreuve,master,professeur,licence,session,diplôme,étudiant université examen cours partiel présentiel semestre formation étude universitaire distance faculté enseignement distanciel épreuve master professeur licence session diplôme
Protection Animale,chat,association,stérilisation,chat_errant,stériliser,refuge,vétérinaire,nourrir,spa,protection_animal,campagne,abandonner,disparaître,mairie,identification,bénévole,identifier,libre,sauver,euthanasie,chat association stérilisation chat_errant stériliser refuge vétérinaire nourrir spa protection_animal campagne abandonner disparaître mairie identification bénévole identifier libre sauver euthanasie
Education,école,enseignant,scolaire,parent_élève,poste,ecolé,éducation,enseignement,parent,public,rentrée,mairie,village,équipe,pédagogique,apprentissage,maternelle,directrice,éducation_national,sécurité,école enseignant scolaire parent_élève poste ecolé éducation enseignement parent public rentrée mairie village équipe pédagogique apprentissage maternelle directrice éducation_national sécurité
Justice Economique,entreprise,salarié,travail,payer,emploi,social,salaire,retraite,poste,travailler,professionnel,prime,taxe,état,impôt,contrat,revenu,métier,direction,augmentation,entreprise salarié travail payer emploi social salaire retraite poste travailler professionnel prime taxe état impôt contrat revenu métier direction augmentation
Vie Locale,ville,lieu,mairie,place,association,logement,local,construction,maison,bâtiment,patrimoine,commerce,construire,immeuble,culturel,centre,municipal,centre-ville,culture,municipalité,ville lieu mairie place association logement local construction maison bâtiment patrimoine commerce construire immeuble culturel centre municipal culture municipalité
Justice,justice,victime,famille,violence,fille,prison,police,acte,policier,plainte,mort,affaire,peine,droit,condamner,crime,père,juge,mère,tribunal,justice victime famille violence fille prison police acte policier plainte mort affaire peine droit condamner crime père juge mère tribunal
Mobilité,ligne,route,bus,usager,véhicule,train,gare,transport,voiture,circulation,vitesse,sécurité,sncf,voie,piéton,vélo,accident,riverain,trafic,routier,ligne route bus usager véhicule train gare transport voiture circulation vitesse sécurité sncf voie piéton vélo accident riverain trafic routier
Sport,club,sport,sportif,joueur,football,salle,terrain,équipe,stade,match,association,saison,pratiquer,adhérent,compétition,ligue,entraînement,jouer,jeu,piscine,club sport sportif joueur football salle terrain équipe stade match association saison pratiquer adhérent compétition ligue entraînement jouer jeu piscine
Santé - Précaution Ondes,antenne,antenne_relai,onde,implantation,habitation,opérateur,santé,village,proximité,orange,électromagnétique,free,riverain,mairie,précaution,risque,étude,réseau,immeuble,impact,antenne antenne_relai onde implantation habitation opérateur santé village proximité orange électromagnétique free riverain mairie précaution risque étude réseau immeuble impact
Environnement,arbre,abattage,sauver,forêt,abattre,centenaire,patrimoine,protéger,biodiversité,nature,bois,préserver,jardin,oiseau,coupe,destruction,environnement,espace_vert,construction,détruire,arbre abattage sauver forêt abattre centenaire patrimoine protéger biodiversité nature bois préserver jardin oiseau coupe destruction environnement espace_vert construction détruire
Protection Animale,cirque,animal,animal_sauvage,spectacle,cage,interdire,ville,interdiction,enfermer,captivité,exploiter,nature,biologique,espèce,souffrance,représentation,public,impératif,naturel,pays,cirque animal animal_sauvage spectacle cage interdire ville interdiction enfermer captivité exploiter nature biologique espèce souffrance représentation public impératif naturel pays
Protection Animale,chasse,chasseur,tuer,interdire,nature,forêt,chasser,espèce,loup,massacre,tir,faune,sauvage,arme,accident,interdiction,oiseau,population,autoriser,loisir,chasse chasseur tuer interdire nature forêt chasser espèce loup massacre tir faune sauvage arme accident interdiction oiseau population autoriser loisir
Droit des femmes,femme,violence,homme,victime,sexuel,fille,viol,musulman,monde,égalité,société,agression,mère,corps,loi,droit,liberté,harcèlement,enceinte,maladie,femme violence homme victime sexuel fille viol musulman monde égalité société agression mère corps loi droit liberté harcèlement enceinte maladie
Education,élève,lycée,épreuve,professeur,bac,cours,établissement,enseignant,enseignement,scolaire,baccalauréat,lycéen,réforme,éducation,éducation_national,examen,contrôle_continu,terminal,rectorat,programme,élève lycée épreuve professeur bac cours établissement enseignant enseignement scolaire baccalauréat lycéen réforme éducation éducation_national examen contrôle_continu terminal rectorat programme
