Topic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,topics
Education,classe,élève,effectif,rentrée,parent_élève,maternelle,enseignant,école_maternelle,surcharger,enseignement,enfant,apprentissage,mobiliser,école_élémentaire,inspection_académique,éducation_national,accueil,académique,difficulté,pédagogique,classe élève effectif rentrée parent_élève maternelle enseignant école_maternelle surcharger enseignement enfant apprentissage mobiliser école_élémentaire inspection_académique éducation_national accueil académique difficulté pédagogique
Environnement,eau,déchet,environnement,pollution,plastique,terre,écologique,agricole,naturel,élevage,usine,industriel,nature,air,agriculture,planète,environnemental,forêt,biodiversité,sol,eau déchet environnement pollution plastique terre écologique agricole naturel élevage usine industriel nature air agriculture planète environnemental forêt biodiversité sol
Protection Animale,animal,cirque,animal_sauvage,spectacle,maltraitance,cage,interdire,souffrance,espèce,humain,captivité,cruauté,élevage,interdiction,cheval,lion,enfermer,maltraiter,bien-être_animal,vétérinaire,animal cirque animal_sauvage spectacle maltraitance cage interdire souffrance espèce humain captivité cruauté élevage interdiction cheval lion enfermer maltraiter bien être_animal vétérinaire
Protection Animale,chien,propriétaire,parc,canin,maître,animal,refuge,chiot,vétérinaire,promener,spa,compagnon,pauvre,ami,race,plage,patte,tuer,voisin,récupérer,chien propriétaire parc canin maître animal refuge chiot vétérinaire promener spa compagnon pauvre ami race plage patte tuer voisin récupérer
Education,étudiant,université,examen,cours,partiel,semestre,présentiel,universitaire,formation,étude,distance,faculté,enseignement,épreuve,professeur,session,note,stage,licence,confinement,étudiant université examen cours partiel semestre présentiel universitaire formation étude distance faculté enseignement épreuve professeur session note stage licence confinement
Environnement,parc,village,antenne,éolien,construction,antenne_relai,implantation,riverain,terrain,habitation,maison,mairie,logement,patrimoine,paysage,immobilier,construire,onde,immeuble,proximité,parc village antenne éolien construction antenne_relai implantation riverain terrain habitation maison mairie logement patrimoine paysage immobilier construire onde immeuble proximité
Politique,pays,peuple,droit,monde,politique,citoyen,international,liberté,gouvernement,état,afrique,africain,national,nation,population,guerre,droit_homme,europe,paix,république,pays peuple droit monde politique citoyen international liberté gouvernement état afrique africain national nation population guerre droit_homme europe paix république
Santé,santé,hôpital,patient,médecin,soin,soignant,médical,infirmier,maladie,urgence,soigner,traitement,malade,hospitalier,professionnel,médicament,public,lit,covid-19,médecine,santé hôpital patient médecin soin soignant médical infirmier maladie urgence soigner traitement malade hospitalier professionnel médicament public lit covid 19 médecine
Education,élève,lycée,professeur,épreuve,bac,cours,enseignant,établissement,enseignement,réforme,baccalauréat,scolaire,lycéen,éducation_national,examen,éducation,programme,contrôle_continu,formation,rectorat,élève lycée professeur épreuve bac cours enseignant établissement enseignement réforme baccalauréat scolaire lycéen éducation_national examen éducation programme contrôle_continu formation rectorat
Droit de l’enfance,enfant,parent,famille,handicap,scolaire,adulte,maman,mère,fille,parent_enfant,cantine,port_masque,père,fils,enfance,scolariser,vivre,crèche,handicapé,accueil,enfant parent famille handicap scolaire adulte maman mère fille parent_enfant cantine port_masque père fils enfance scolariser vivre crèche handicapé accueil
Protection Animale,chat,association,stérilisation,chat_errant,animal,stériliser,refuge,vétérinaire,protection_animal,abandonner,nourrir,campagne,bénévole,spa,mairie,maltraitance,ami,sauver,identifier,abandon,chat association stérilisation chat_errant animal stériliser refuge vétérinaire protection_animal abandonner nourrir campagne bénévole spa mairie maltraitance ami sauver identifier abandon
Justice Economique,entreprise,salarié,travail,social,emploi,payer,salaire,prime,retraite,travailler,commerce,gouvernement,état,professionnel,crise,revenu,mesure,métier,taxe,impôt,entreprise salarié travail social emploi payer salaire prime retraite travailler commerce gouvernement état professionnel crise revenu mesure métier taxe impôt
Education,école,scolaire,enseignant,parent_élève,poste,ecolé,éducation,rentrée,public,mairie,parent,maternelle,sécurité,équipe,pédagogique,enseignement,directrice,éducation_national,conseil,ouvrir,école scolaire enseignant parent_élève poste ecolé éducation rentrée public mairie parent maternelle sécurité équipe pédagogique enseignement directrice éducation_national conseil ouvrir
Droit des femmes,femme,violence,homme,victime,sexuel,égalité,viol,société,fille,corps,monde,agression,mère,harcèlement,musulman,conjoint,protection,genre,enceinte,lutte,femme violence homme victime sexuel égalité viol société fille corps monde agression mère harcèlement musulman conjoint protection genre enceinte lutte
Vie Locale,ville,commerce,place,lieu,citoyen,local,mairie,municipal,cirque,centre-ville,marché,commerçant,culturel,municipalité,association,public,centre,culture,stationnement,urbain,ville commerce place lieu citoyen local mairie municipal cirque centre marché commerçant culturel municipalité association public culture stationnement urbain
Sport,club,sport,sportif,joueur,salle,football,terrain,association,équipe,match,saison,pratiquer,ligue,adhérent,stade,compétition,jeu,jouer,piscine,dirigeant,club sport sportif joueur salle football terrain association équipe match saison pratiquer ligue adhérent stade compétition jeu jouer piscine dirigeant
Environnement,arbre,abattage,forêt,sauver,abattre,patrimoine,biodiversité,nature,protéger,préserver,place,couper,destruction,jardin,réchauffement_climatique,bois,espèce,environnement,oiseau,espace_vert,arbre abattage forêt sauver abattre patrimoine biodiversité nature protéger préserver place couper destruction jardin réchauffement_climatique bois espèce environnement oiseau espace_vert
Mobilité,ligne,train,bus,gare,usager,transport,sncf,voiture,route,véhicule,trajet,circulation,région,réseau,transport_commun,voie,vélo,voyageur,vitesse,desservir,ligne train bus gare usager transport sncf voiture route véhicule trajet circulation région réseau transport_commun voie vélo voyageur vitesse desservir
