Topic,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,topics
Vie Locale,ville,parc,association,public,mairie,lieu,patrimoine,local,terrain,région,construction,environnement,travail,eau,place,village,construire,centre,naturel,ligne,ville parc association public mairie lieu patrimoine local terrain région construction environnement travail eau place village construire centre naturel ligne
Protection Animale,animal,maltraitance,abattoir,souffrance,cruauté,humain,fourrure,maltraiter,tuer,souffrir,viande,protection_animal,ami,pauvre,élevage,interdire,acte,homme,bête,abattage,animal maltraitance abattoir souffrance cruauté humain fourrure maltraiter tuer souffrir viande protection_animal ami pauvre élevage interdire acte homme bête abattage
Education,classe,élève,école,collège,rentrée,enseignement,enseignant,parent_élève,scolaire,poste,effectif,lycée,maternelle,professeur,école_maternelle,apprentissage,éducation_national,éducation,académie,établissement,classe élève école collège rentrée enseignement enseignant parent_élève scolaire poste effectif lycée maternelle professeur école_maternelle apprentissage éducation_national éducation académie établissement
Protection Animale,chien,race,maître,propriétaire,vétérinaire,parc,canin,refuge,chiot,spa,mort,éleveur,voisin,élevage,dangereux,patte,voiture,plage,coup,mourir,chien race maître propriétaire vétérinaire parc canin refuge chiot spa mort éleveur voisin élevage dangereux patte voiture plage coup mourir
Droit de l’enfance,enfant,parent,école,scolaire,famille,fils,réforme,handicapé,handicap,apprendre,éducation,fille,adulte,père,mère,parent_enfant,cantine,placement,maison,éducatif,enfant parent école scolaire famille fils réforme handicapé handicap apprendre éducation fille adulte père mère parent_enfant cantine placement maison éducatif
Protection Animale,chat,chat_errant,stérilisation,association,stériliser,fourrière,refuge,chaton,capture,spa,disparaître,abandonner,euthanasier,vétérinaire,euthanasie,nourrir,identifier,protection_animal,campagne,identification,chat chat_errant stérilisation association stériliser fourrière refuge chaton capture spa disparaître abandonner euthanasier vétérinaire euthanasie nourrir identifier protection_animal campagne identification
Politique,vote,politique,blanc,élu,citoyen,élection,candidat,voter,député,mandat,gauche,démocratie,parti,présidentiel,électeur,peuple,république,élire,sénateur,assemblée,vote politique blanc élu citoyen élection candidat voter député mandat gauche démocratie parti présidentiel électeur peuple république élire sénateur assemblée
Protection Animale,cirque,animal_sauvage,animal,ville,spectacle,cage,éléphant,interdire,interdiction,nature,espèce,enfermer,biologique,code_rural,captivité,représentation,impératif,soleil,public,exploiter,cirque animal_sauvage animal ville spectacle cage éléphant interdire interdiction nature espèce enfermer biologique code_rural captivité représentation impératif soleil public exploiter
Justice Economique,payer,taxe,impôt,propriétaire,revenu,loyer,argent,augmentation,état,logement,contribuable,frais,foncier,salaire,famille,cher,prix,maison,tarif,augmenter,payer taxe impôt propriétaire revenu loyer argent augmentation état logement contribuable frais foncier salaire famille cher prix maison tarif augmenter
Santé,santé,maladie,soin,patient,médecin,hôpital,malade,médical,traitement,médicament,professionnel,ministre,travail,soigner,handicap,urgence,médecine,public,handicapé,douleur,santé maladie soin patient médecin hôpital malade médical traitement médicament professionnel ministre travail soigner handicap urgence médecine public handicapé douleur
Justice,justice,victime,prison,peine,condamner,acte,policier,famille,fille,mère,affaire,police,père,violence,judiciaire,plainte,mort,juge,tribunal,droit,justice victime prison peine condamner acte policier famille fille mère affaire police père violence judiciaire plainte mort juge tribunal droit
Politique,pays,peuple,gouvernement,europe,européen,démission,monde,référendum,migrant,état,union_européen,ministre,guerre,politique,citoyen,national,nation,international,étranger,musulman,pays peuple gouvernement europe européen démission monde référendum migrant état union_européen ministre guerre politique citoyen national nation international étranger musulman
Protection Animale,chasse,loup,chasseur,sauver,tuer,espèce,nature,forêt,massacre,protéger,renard,sauvage,chasser,tir,cheval,protection,éleveur,abattage,faune,naturel,chasse loup chasseur sauver tuer espèce nature forêt massacre protéger renard sauvage chasser tir cheval protection éleveur abattage faune naturel
Droit des femmes,femme,violence,fille,musulman,viol,homme,victime,sauvage,liberté,sexuel,voile,mère,subir,monde,vivre,battre,religieux,mari,agression,violer,femme violence fille musulman viol homme victime sauvage liberté sexuel voile mère subir monde vivre battre religieux mari agression violer
Justice Economique,retraite,retraité,salarié,pension,régime,salaire,cotisation,travailler,entreprise,fonctionnaire,emploi,revenu,social,député,avantage,priver,travail,prime,pouvoir_achat,gouvernement,retraite retraité salarié pension régime salaire cotisation travailler entreprise fonctionnaire emploi revenu social député avantage priver travail prime pouvoir_achat gouvernement
Médias,émission,chaîne,télévision,ami,programme,diffusion,fan,diffuser,antenne,poste,série,canal,publicité,place,jeu,film,redevance,musique,radio,direction,émission chaîne télévision ami programme diffusion fan diffuser antenne poste série canal publicité place jeu film redevance musique radio direction
Politique,loi,droit,respecter,liberté,député,interdire,voter,handicapé,religieux,gouvernement,texte,respect,travail,mariage,religion,interdiction,protéger,retrait,public,sénat,loi droit respecter liberté député interdire voter handicapé religieux gouvernement texte respect travail mariage religion interdiction protéger retrait public sénat
Santé - Précaution Ondes,compteur,linky,électrique,appareil,incendie,électromagnétique,panne,onde,facture,santé,électricité,risque,edf,consommation,cancer,intelligent,technologie,distance,réseau,système,compteur linky électrique appareil incendie électromagnétique panne onde facture santé électricité risque edf consommation cancer intelligent technologie distance réseau système
